fid,city,year_built,units
108125,Boston,1880,1
108126,Boston,1910,6
108127,Boston,1967,1
108128,Boston,1890,3
108130,Boston,1900,3
108131,Boston,1925,2
108133,Boston,1955,1
108134,Boston,1957,1
108135,Boston,1910,3
108136,Boston,1926,1
108137,Boston,2006,2
108138,Boston,1910,2
108139,Boston,1899,6
108140,Boston,1899,7
108141,Boston,1920,2
108142,Boston,1895,1
108143,Boston,1950,1
108144,Boston,1910,2
108145,Boston,1905,3
108146,Boston,1900,1
108147,Boston,1920,1
108148,Boston,1945,1
108149,Boston,1899,7
108150,Boston,1875,3
108151,Boston,1910,2
108152,Boston,1890,1
108153,Boston,1890,4
108154,Boston,1900,3
108155,Boston,1900,3
108156,Boston,1900,2
108157,Boston,1890,3
108158,Boston,1925,3
108159,Boston,1999,15
108161,Boston,1907,1
108162,Boston,1890,1
108164,Boston,1953,1
108165,Boston,1969,1
108166,Boston,1985,1
108168,Boston,1890,1
108169,Boston,1900,1
108170,Boston,1905,3
108172,Boston,1920,1
108173,Boston,1925,3
108174,Boston,1910,2
108175,Boston,1986,1
108176,Boston,1870,2
108177,Boston,1884,1
108179,Boston,1900,1
108180,Boston,1905,1
108181,Boston,1941,1
108182,Boston,1880,1
108183,Boston,2007,1
108184,Boston,1920,3
108185,Boston,1955,1
108186,Boston,2005,1
108187,Boston,1999,9
108188,Boston,1820,1
108189,Boston,1899,2
108190,Boston,1910,3
108191,Boston,2017,5
108192,Boston,1897,2
108193,Boston,1960,1
108194,Boston,1910,2
108195,Boston,1890,2
108196,Boston,1945,2
108197,Boston,1900,1
108198,Boston,1920,2
108199,Boston,2015,2
108201,Boston,1900,3
108202,Boston,1900,3
108203,Boston,1900,3
108204,Boston,2004,1
108206,Boston,1920,1
108207,Boston,1880,1
108208,Boston,1900,2
108210,Boston,1895,1
108212,Boston,1999,5
108213,Boston,1900,2
108214,Boston,1900,3
108215,Boston,1905,3
108217,Boston,1910,3
108218,Boston,1910,1
108219,Boston,1930,2
108220,Boston,1920,2
108221,Boston,1910,3
108222,Boston,1900,3
108223,Boston,1910,2
108224,Boston,1910,2
108225,Boston,1890,1
108226,Boston,1880,2
108227,Boston,1935,2
108228,Boston,1885,5
108229,Boston,1900,1
108230,Boston,1910,1
108232,Boston,1935,1
108233,Boston,1920,4
108234,Boston,1955,1
108235,Boston,1930,1
108236,Boston,1920,1
108237,Boston,1920,2
108239,Boston,1993,1
108240,Boston,1915,2
108241,Boston,1964,1
108242,Boston,1905,3
108243,Boston,1999,9
108244,Boston,1828,1
108245,Boston,1940,1
108246,Boston,1999,59
108247,Boston,1905,2
108248,Boston,1905,3
108249,Boston,1890,3
108253,Boston,2001,2
108254,Boston,1942,1
108255,Boston,1966,1
108256,Boston,1920,1
108257,Boston,1928,2
108259,Boston,1961,2
108260,Boston,1910,3
108261,Boston,1950,1
108262,Boston,1920,1
108263,Boston,1962,1
108264,Boston,1899,9
108265,Boston,1910,1
108266,Boston,1900,1
108267,Boston,1895,5
108268,Boston,1935,1
108269,Boston,1920,1
108270,Boston,1920,1
108271,Boston,1925,2
108272,Boston,1920,2
108273,Boston,1890,1
108274,Boston,1935,1
108275,Boston,1895,1
108278,Boston,1900,2
108280,Boston,2002,2
108281,Boston,1960,1
108285,Boston,1910,2
108286,Boston,1905,3
108289,Boston,1945,2
108290,Boston,1950,1
108291,Boston,1930,1
108292,Boston,1935,1
108293,Boston,1910,5
108294,Boston,1905,2
108295,Boston,1945,1
108296,Boston,1896,2
108297,Boston,1920,1
108298,Boston,1905,2
108299,Boston,1900,2
108300,Boston,1988,1
108301,Boston,1987,1
108302,Boston,1885,1
108303,Boston,1899,1
108304,Boston,1899,1
108305,Boston,1920,1
108306,Boston,1913,1
108307,Boston,1940,6
108308,Boston,1866,2
108309,Boston,1918,3
108310,Boston,1905,2
108313,Boston,1900,1
108314,Boston,1950,1
108315,Boston,1905,3
108316,Boston,1960,1
108317,Boston,1890,5
108318,Boston,1981,11
108319,Boston,1899,1
108320,Boston,1910,1
108321,Boston,1910,2
108322,Boston,1905,5
108323,Boston,1900,8
108324,Boston,1899,1
108325,Boston,1920,7
108326,Boston,1900,2
108327,Boston,1910,1
108328,Boston,1905,5
108329,Boston,1910,2
108330,Boston,1844,2
108331,Boston,1899,3
108332,Boston,1999,9
108333,Boston,1935,8
108334,Boston,2005,1
108335,Boston,1900,1
108336,Boston,1905,3
108337,Boston,1881,2
108338,Boston,1920,3
108339,Boston,1900,3
108340,Boston,1956,1
108341,Boston,1999,5
108342,Boston,2016,5
108343,Boston,1950,1
108344,Boston,1920,2
108345,Boston,1945,1
108346,Boston,1935,2
108347,Boston,1950,1
108348,Boston,1953,1
108349,Boston,1950,1
108350,Boston,1890,1
108351,Boston,1935,2
108352,Boston,1925,2
108353,Boston,1920,3
108354,Boston,1961,1
108355,Boston,1910,1
108356,Boston,1910,2
108357,Boston,1928,1
108359,Boston,1955,1
108360,Boston,1920,3
108361,Boston,1920,1
108362,Boston,1900,1
108363,Boston,1900,1
108364,Boston,1958,1
108365,Boston,1940,1
108366,Boston,1920,2
108367,Boston,1927,2
108368,Boston,1885,1
108369,Boston,1910,3
108370,Boston,1950,1
108371,Boston,1910,2
108372,Boston,1940,2
108373,Boston,1920,5
108374,Boston,1900,3
108375,Boston,1938,2
108376,Boston,1900,2
108379,Boston,1930,13
108380,Boston,1905,3
108381,Boston,1895,3
108382,Boston,1905,3
108383,Boston,1885,2
108384,Boston,1985,2
108385,Boston,1920,3
108386,Boston,1999,3
108387,Boston,1829,1
108388,Boston,1910,3
108389,Boston,1890,2
108390,Boston,1890,1
108391,Boston,1928,1
108392,Boston,1910,1
108393,Boston,1895,3
108394,Boston,1920,1
108395,Boston,1930,1
108396,Boston,1930,1
108397,Boston,1890,2
108399,Boston,1900,3
108400,Boston,1890,2
108401,Boston,1900,2
108402,Boston,1899,1
108403,Boston,1910,2
108404,Boston,1905,3
108405,Boston,1900,3
108406,Boston,1957,1
108407,Boston,1905,1
108408,Boston,1905,3
108409,Boston,1926,2
108411,Boston,1890,2
108412,Boston,1989,1
108413,Boston,1890,1
108414,Boston,1899,20
108415,Boston,1930,1
108416,Boston,1920,3
108417,Boston,1957,1
108419,Boston,1955,1
108420,Boston,1910,3
108421,Boston,1890,1
108422,Boston,1900,3
108423,Boston,1899,9
108424,Boston,1890,1
108425,Boston,2000,1
108426,Boston,1950,1
108427,Boston,1926,2
108428,Boston,1930,2
108429,Boston,1960,1
108430,Boston,1935,1
108431,Boston,1900,2
108432,Boston,1955,1
108433,Boston,1920,2
108434,Boston,1900,3
108436,Boston,1899,11
108437,Boston,1900,2
108439,Boston,1890,1
108440,Boston,1934,1
108441,Boston,1920,2
108442,Boston,1910,3
108443,Boston,1965,1
108444,Boston,1958,1
108446,Boston,1954,1
108447,Boston,1885,2
108448,Boston,1913,1
108449,Boston,2000,2
108450,Boston,1910,8
108452,Boston,1910,8
108453,Boston,1925,3
108454,Boston,1910,3
108455,Boston,1910,3
108456,Boston,1978,1
108457,Boston,1905,3
108458,Boston,1875,2
108459,Boston,1900,1
108461,Boston,1960,2
108462,Boston,1920,1
108463,Boston,1940,1
108464,Boston,1905,2
108465,Boston,1915,2
108467,Boston,2006,2
108468,Boston,1954,1
108469,Boston,1925,1
108470,Boston,1999,11
108471,Boston,1900,1
108472,Boston,1910,3
108473,Boston,1910,3
108474,Boston,1895,3
108475,Boston,1905,3
108476,Boston,1900,1
108477,Boston,1890,1
108478,Boston,1890,1
108479,Boston,1910,1
108481,Boston,1899,1
108482,Boston,1946,1
108483,Boston,1920,1
108484,Boston,1925,1
108485,Boston,1915,2
108486,Boston,1890,3
108487,Boston,1926,1
108488,Boston,1910,5
108489,Boston,1920,1
108490,Boston,1890,1
108491,Boston,1940,2
108492,Boston,1931,2
108493,Boston,1910,1
108494,Boston,1899,17
108495,Boston,1896,8
108496,Boston,1905,3
108497,Boston,1900,3
108498,Boston,1900,2
108499,Boston,1910,1
108500,Boston,1900,1
108501,Boston,1895,1
108502,Boston,1907,3
108503,Boston,1945,1
108504,Boston,2003,1
108505,Boston,2014,2
108506,Boston,1910,3
108507,Boston,1954,1
108508,Boston,1960,1
108509,Boston,1900,3
108510,Boston,1900,2
108511,Boston,1955,1
108512,Boston,1965,1
108513,Boston,1899,3
108514,Boston,1933,2
108515,Boston,1910,1
108518,Boston,1960,2
108519,Boston,1950,1
108520,Boston,1930,1
108521,Boston,1960,1
108522,Boston,1910,1
108523,Boston,1900,9
108524,Boston,1900,9
108525,Boston,1900,2
108526,Boston,1890,1
108528,Boston,1905,3
108530,Boston,1950,1
108532,Boston,1955,1
108533,Boston,1958,2
108535,Boston,1920,3
108536,Boston,1960,1
108537,Boston,1935,2
108541,Boston,1925,3
108542,Boston,1899,1
108543,Boston,1932,1
108544,Boston,1910,1
108546,Boston,1913,1
108547,Boston,1900,1
108548,Boston,1890,3
108549,Boston,1916,3
108550,Boston,1900,2
108552,Boston,1900,6
108553,Boston,1950,1
108554,Boston,1910,2
108555,Boston,1900,3
108556,Boston,1900,2
108557,Boston,1930,1
108558,Boston,1905,1
108560,Boston,1899,3
108561,Boston,1912,1
108562,Boston,1895,1
108563,Boston,1930,1
108564,Boston,1924,1
108565,Boston,1991,1
108567,Boston,1910,1
108568,Boston,1930,1
108569,Boston,1895,1
108570,Boston,1950,1
108571,Boston,1890,1
108572,Boston,1900,2
108573,Boston,1910,3
108574,Boston,1900,3
108575,Boston,1910,3
108576,Boston,1900,2
108577,Boston,1999,19
108578,Boston,1912,1
108579,Boston,1925,3
108580,Boston,1910,1
108582,Boston,1880,2
108583,Boston,1930,2
108584,Boston,1950,1
108585,Boston,1910,1
108586,Boston,1964,2
108587,Boston,1940,1
108588,Boston,1900,3
108589,Boston,1888,2
108590,Boston,1905,1
108591,Boston,1935,1
108592,Boston,1925,1
108593,Boston,1926,3
108595,Boston,1950,1
108596,Boston,1900,3
108597,Boston,1940,1
108599,Boston,1960,1
108600,Boston,1991,1
108601,Boston,1920,7
108602,Boston,1900,3
108603,Boston,1905,3
108605,Boston,1900,2
108606,Boston,1900,1
108607,Boston,2005,1
108608,Boston,1910,5
108609,Boston,1965,1
108610,Boston,2005,1
108611,Boston,1935,1
108612,Boston,1935,5
108613,Boston,1940,1
108614,Boston,1910,1
108615,Boston,1964,1
108616,Boston,1990,1
108618,Boston,1940,1
108619,Boston,1905,3
108620,Boston,1948,1
108621,Boston,1940,1
108622,Boston,1900,5
108623,Boston,1905,2
108624,Boston,1900,1
108625,Boston,1960,1
108626,Boston,1927,3
108627,Boston,1890,1
108630,Boston,1900,1
108631,Boston,1935,1
108632,Boston,1934,1
108633,Boston,1939,2
108634,Boston,1999,69
108635,Boston,1978,1
108636,Boston,1940,1
108637,Boston,1948,1
108638,Boston,2018,1
108639,Boston,1920,1
108640,Boston,1955,1
108641,Boston,1935,1
108642,Boston,1957,1
108643,Boston,1926,1
108644,Boston,2021,1
108645,Boston,1920,2
108646,Boston,1951,2
108647,Boston,1950,1
108648,Boston,1920,2
108649,Boston,1890,3
108652,Boston,1999,33
108653,Boston,1905,2
108654,Boston,1905,3
108656,Boston,1904,1
108657,Boston,1899,1
108658,Boston,1961,1
108659,Boston,1899,1
108660,Boston,1950,1
108661,Boston,1965,1
108662,Boston,1905,3
108664,Boston,2004,1
108665,Boston,1938,1
108666,Boston,1941,1
108667,Boston,1961,1
108669,Boston,1905,3
108670,Boston,1899,1
108671,Boston,1910,1
108672,Boston,1925,1
108673,Boston,1910,3
108674,Boston,1890,1
108675,Boston,1961,2
108676,Boston,1905,3
108677,Boston,1940,1
108678,Boston,1948,1
108680,Boston,1935,2
108681,Boston,1910,2
108682,Boston,1900,3
108683,Boston,1890,1
108684,Boston,1960,1
108685,Boston,1912,5
108686,Boston,1905,3
108687,Boston,1900,1
108688,Boston,1890,2
108689,Boston,1962,1
108691,Boston,1900,2
108692,Boston,1890,1
108693,Boston,1932,2
108694,Boston,2015,3
108695,Boston,1965,1
108696,Boston,1950,1
108697,Boston,1932,1
108699,Boston,1920,2
108700,Boston,1960,1
108701,Boston,1958,1
108702,Boston,1905,3
108703,Boston,1930,1
108704,Boston,1905,3
108705,Boston,1899,1
108707,Boston,1940,1
108708,Boston,1905,20
108709,Boston,1952,1
108710,Boston,1965,1
108711,Boston,1900,2
108712,Boston,1890,2
108714,Boston,1899,2
108715,Boston,1900,5
108716,Boston,1999,17
108717,Boston,1920,1
108718,Boston,1905,1
108719,Boston,1900,2
108720,Boston,1900,2
108721,Boston,1899,8
108722,Boston,1899,10
108723,Boston,1899,10
108725,Boston,1960,1
108727,Boston,1905,3
108729,Boston,1940,1
108730,Boston,1934,1
108731,Boston,1921,2
108732,Boston,1905,3
108733,Boston,1999,5
108734,Boston,1915,3
108735,Boston,1920,3
108736,Boston,2018,4
108737,Boston,1905,3
108738,Boston,1920,2
108739,Boston,1914,3
108740,Boston,1965,1
108742,Boston,1900,6
108743,Boston,1899,1
108744,Boston,1940,1
108745,Boston,1950,2
108746,Boston,1961,1
108747,Boston,1920,4
108748,Boston,1945,1
108749,Boston,1920,2
108750,Boston,1999,49
108751,Boston,1925,1
108752,Boston,1900,2
108753,Boston,1910,1
108754,Boston,1900,2
108755,Boston,1900,2
108758,Boston,2002,5
108759,Boston,1905,3
108760,Boston,1999,9
108761,Boston,1900,7
108763,Boston,1925,2
108764,Boston,1905,3
108766,Boston,1890,1
108767,Boston,1899,7
108769,Boston,1950,1
108770,Boston,1910,2
108771,Boston,1900,1
108773,Boston,1999,11
108774,Boston,1950,2
108775,Boston,1930,3
108777,Boston,1950,1
108778,Boston,1890,2
108779,Boston,1941,1
108781,Boston,1900,3
108782,Boston,1950,1
108783,Boston,1885,1
108784,Boston,1905,1
108785,Boston,1905,3
108786,Boston,2006,1
108787,Boston,1930,2
108788,Boston,1910,2
108789,Boston,1925,1
108790,Boston,2020,6
108791,Boston,1885,2
108792,Boston,1940,4
108793,Boston,1900,2
108794,Boston,1905,3
108795,Boston,1890,1
108796,Boston,1940,2
108797,Boston,1925,3
108798,Boston,1899,1
108799,Boston,1890,1
108800,Boston,1890,2
108802,Boston,2020,2
108803,Boston,1925,3
108805,Boston,1991,1
108806,Boston,1899,1
108807,Boston,1915,3
108808,Boston,1905,6
108809,Boston,1900,1
108810,Boston,1925,3
108811,Boston,1999,3
108812,Boston,1910,2
108813,Boston,1905,3
108814,Boston,1905,2
108815,Boston,1905,3
108816,Boston,1905,3
108817,Boston,1904,3
108818,Boston,1900,9
108819,Boston,1905,3
108820,Boston,1890,2
108821,Boston,1920,3
108822,Boston,1905,3
108823,Boston,1940,1
108824,Boston,1920,2
108825,Boston,1900,1
108826,Boston,1946,1
108827,Boston,1940,1
108828,Boston,1900,2
108829,Boston,1952,1
108830,Boston,1899,5
108831,Boston,1882,1
108832,Boston,1925,1
108833,Boston,1963,1
108834,Boston,1915,3
108835,Boston,1990,1
108836,Boston,1899,7
108837,Boston,1910,2
108838,Boston,1935,3
108839,Boston,1930,1
108841,Boston,1900,2
108842,Boston,1899,23
108843,Boston,1830,1
108844,Boston,1900,1
108845,Boston,1910,1
108846,Boston,1950,1
108848,Boston,1940,1
108849,Boston,1900,1
108850,Boston,1900,1
108851,Boston,1899,2
108852,Boston,1935,1
108853,Boston,1920,2
108854,Boston,1899,3
108855,Boston,1920,1
108856,Boston,1950,1
108857,Boston,1935,1
108858,Boston,1969,1
108859,Boston,2000,1
108861,Boston,1900,1
108862,Boston,1910,1
108863,Boston,1896,1
108864,Boston,1900,2
108865,Boston,1875,3
108866,Boston,1912,1
108867,Boston,1925,2
108868,Boston,1925,1
108869,Boston,1890,5
108870,Boston,2007,2
108871,Boston,1920,1
108872,Boston,1900,5
108873,Boston,1905,3
108874,Boston,1905,5
108875,Boston,1910,2
108876,Boston,1922,1
108877,Boston,1899,9
108878,Boston,1910,1
108879,Boston,1937,2
108880,Boston,1910,2
108881,Boston,1984,1
108882,Boston,1940,1
108883,Boston,2004,2
108884,Boston,1925,3
108885,Boston,1920,2
108886,Boston,1928,2
108887,Boston,1920,3
108888,Boston,1930,1
108889,Boston,1920,1
108891,Boston,1905,2
108892,Boston,1910,2
108893,Boston,1955,2
108894,Boston,1984,1
108895,Boston,1935,1
108896,Boston,1905,3
108897,Boston,1891,1
108898,Boston,1915,5
108899,Boston,2006,1
108900,Boston,1920,3
108901,Boston,1920,2
108902,Boston,1920,3
108903,Boston,1900,3
108904,Boston,1910,2
108905,Boston,1900,2
108906,Boston,1900,2
108908,Boston,1900,1
108909,Boston,1969,1
108910,Boston,1940,2
108911,Boston,1912,1
108912,Boston,1905,3
108914,Boston,1910,1
108915,Boston,1895,2
108916,Boston,1960,1
108917,Boston,1925,3
108918,Boston,1999,17
108919,Boston,1920,2
108920,Boston,1880,2
108921,Boston,1946,2
108922,Boston,1930,1
108923,Boston,1920,3
108925,Boston,1920,2
108926,Boston,1960,1
108927,Boston,1900,1
108929,Boston,1900,3
108930,Boston,2019,3
108931,Boston,1930,1
108932,Boston,1900,2
108933,Boston,1941,1
108934,Boston,1913,3
108935,Boston,1970,2
108939,Boston,1941,1
108940,Boston,1955,1
108941,Boston,1920,2
108942,Boston,1900,3
108943,Boston,1885,1
108944,Boston,1910,3
108945,Boston,1910,3
108946,Boston,1899,1
108947,Boston,1899,1
108948,Boston,1894,2
108949,Boston,1904,1
108950,Boston,1890,1
108951,Boston,1910,3
108952,Boston,1910,2
108955,Boston,1890,2
108956,Boston,1899,14
108957,Boston,1910,3
108959,Boston,1880,1
108960,Boston,1925,2
108961,Boston,1900,2
108962,Boston,1900,3
108963,Boston,1910,103
108964,Boston,1950,1
108966,Boston,1960,1
108967,Boston,1900,1
108968,Boston,1850,1
108972,Boston,1920,2
108973,Boston,1910,1
108974,Boston,1899,1
108975,Boston,1920,2
108977,Boston,1900,5
108978,Boston,1950,1
108981,Boston,1908,1
108982,Boston,1920,2
108983,Boston,1910,3
108984,Boston,1880,3
108985,Boston,1910,1
108986,Boston,1940,1
108987,Boston,1929,2
108988,Boston,1930,2
108989,Boston,2003,380
108990,Boston,1900,1
108991,Boston,1920,1
108992,Boston,1997,1
108993,Boston,2004,1
108995,Boston,1890,1
108996,Boston,1915,1
108998,Boston,1900,1
108999,Boston,1948,2
109000,Boston,1910,2
109002,Boston,1950,1
109003,Boston,1928,3
109004,Boston,1960,1
109005,Boston,2002,2
109006,Boston,1899,4
109007,Boston,1905,3
109008,Boston,1920,2
109009,Boston,1905,3
109010,Boston,1910,3
109013,Boston,1900,3
109014,Boston,1940,2
109015,Boston,1900,2
109016,Boston,1935,2
109017,Boston,1830,1
109018,Boston,2012,3
109019,Boston,1899,8
109020,Boston,1938,1
109021,Boston,1918,1
109022,Boston,1900,2
109023,Boston,1864,1
109024,Boston,1900,4
109025,Boston,1900,2
109026,Boston,1916,2
109027,Boston,1905,3
109028,Boston,1899,11
109029,Boston,1900,1
109030,Boston,1910,3
109031,Boston,1920,3
109032,Boston,1925,2
109033,Boston,1920,2
109034,Boston,1920,2
109036,Boston,1905,1
109037,Boston,1890,2
109039,Boston,1940,1
109040,Boston,1910,1
109042,Boston,1905,1
109043,Boston,1890,3
109044,Boston,1875,2
109045,Boston,1950,1
109046,Boston,1900,2
109047,Boston,1900,2
109048,Boston,1900,3
109049,Boston,1890,3
109050,Boston,1910,3
109051,Boston,1900,1
109053,Boston,1925,1
109054,Boston,1930,2
109055,Boston,1915,1
109056,Boston,1930,10
109057,Boston,1920,1
109058,Boston,1920,3
109059,Boston,1900,2
109061,Boston,1961,1
109062,Boston,1930,1
109063,Boston,1930,2
109064,Boston,1925,1
109065,Boston,1800,1
109066,Boston,1905,3
109067,Boston,1920,1
109068,Boston,1890,3
109069,Boston,1900,8
109070,Boston,1900,3
109071,Boston,1965,1
109073,Boston,1900,7
109074,Boston,1925,1
109075,Boston,1920,2
109076,Boston,1928,1
109077,Boston,1935,1
109078,Boston,1995,1
109079,Boston,1960,1
109080,Boston,1960,1
109081,Boston,1950,1
109082,Boston,1915,2
109083,Boston,1910,1
109084,Boston,2019,9
109085,Boston,1910,3
109086,Boston,1920,5
109087,Boston,1900,1
109088,Boston,1905,3
109089,Boston,1900,7
109090,Boston,1999,15
109091,Boston,1899,16
109092,Boston,1880,2
109093,Boston,1915,2
109094,Boston,1931,3
109095,Boston,1910,1
109096,Boston,1957,1
109097,Boston,1900,1
109098,Boston,1927,1
109100,Boston,1950,1
109101,Boston,1955,1
109103,Boston,2012,3
109104,Boston,1905,3
109105,Boston,1905,2
109106,Boston,1958,1
109107,Boston,1910,1
109108,Boston,1950,1
109109,Boston,1890,1
109110,Boston,1999,3
109112,Boston,1920,2
109113,Boston,1905,1
109114,Boston,1890,2
109116,Boston,1925,2
109117,Boston,1930,1
109118,Boston,1900,2
109119,Boston,1905,3
109121,Boston,1905,2
109122,Boston,1960,1
109123,Boston,2000,1
109124,Boston,1899,1
109125,Boston,1957,2
109126,Boston,1940,1
109127,Boston,1920,1
109128,Boston,1905,5
109129,Boston,1941,1
109130,Boston,1905,3
109131,Boston,1905,2
109132,Boston,1991,1
109133,Boston,1920,1
109134,Boston,1940,1
109135,Boston,1924,1
109136,Boston,1900,3
109137,Boston,1902,3
109138,Boston,1900,2
109139,Boston,1900,2
109140,Boston,1954,1
109141,Boston,1910,24
109142,Boston,1899,32
109143,Boston,1899,1
109144,Boston,1950,1
109146,Boston,1905,3
109147,Boston,1920,1
109148,Boston,1890,1
109149,Boston,1915,2
109150,Boston,1910,3
109151,Boston,1950,1
109152,Boston,1925,1
109153,Boston,1900,3
109155,Boston,1980,1
109156,Boston,1956,1
109157,Boston,1946,1
109158,Boston,1822,1
109159,Boston,1950,1
109160,Boston,1955,1
109161,Boston,1960,2
109162,Boston,1910,2
109163,Boston,1925,1
109164,Boston,1930,1
109165,Boston,1989,1
109167,Boston,1950,1
109168,Boston,1905,3
109170,Boston,1920,1
109171,Boston,1950,1
109172,Boston,1900,2
109173,Boston,1912,1
109174,Boston,1910,3
109175,Boston,1999,8
109177,Boston,1850,1
109178,Boston,1900,2
109179,Boston,2019,2
109180,Boston,1920,3
109181,Boston,1925,3
109182,Boston,1945,1
109183,Boston,1899,1
109186,Boston,1964,1
109188,Boston,1900,2
109189,Boston,1900,1
109190,Boston,1905,3
109191,Boston,1928,2
109192,Boston,1905,1
109193,Boston,1999,21
109194,Boston,1920,4
109195,Boston,1910,3
109197,Boston,1920,11
109198,Boston,1899,1
109199,Boston,1935,3
109201,Boston,1999,20
109202,Boston,1890,1
109203,Boston,1920,1
109204,Boston,1860,1
109205,Boston,1945,1
109206,Boston,1890,1
109207,Boston,1957,1
109208,Boston,1924,2
109209,Boston,1945,1
109210,Boston,1955,1
109213,Boston,1940,1
109214,Boston,1900,2
109215,Boston,2005,1
109216,Boston,1999,21
109217,Boston,2004,3
109218,Boston,1930,1
109219,Boston,1950,1
109220,Boston,1925,1
109221,Boston,1920,3
109222,Boston,1920,1
109223,Boston,1940,1
109224,Boston,1900,3
109225,Boston,1930,2
109226,Boston,1920,1
109227,Boston,1982,1
109229,Boston,1900,2
109230,Boston,1890,3
109231,Boston,1930,1
109232,Boston,1999,13
109233,Boston,1900,2
109234,Boston,1960,45
109236,Boston,1950,1
109237,Boston,1929,1
109238,Boston,1964,1
109239,Boston,1920,2
109240,Boston,1910,1
109241,Boston,1900,2
109242,Boston,1940,2
109243,Boston,1925,3
109244,Boston,1991,1
109245,Boston,1900,2
109246,Boston,1910,3
109248,Boston,1910,1
109251,Boston,1905,2
109252,Boston,1900,2
109253,Boston,1920,8
109254,Boston,1900,2
109255,Boston,1890,1
109256,Boston,1930,1
109257,Boston,1940,1
109258,Boston,1972,1
109259,Boston,1925,1
109260,Boston,1900,1
109261,Boston,1890,2
109262,Boston,1900,2
109263,Boston,1956,1
109264,Boston,1930,2
109265,Boston,1943,5
109266,Boston,1964,2
109267,Boston,1890,1
109268,Boston,1894,1
109269,Boston,1935,1
109270,Boston,1950,1
109271,Boston,1900,2
109272,Boston,1920,3
109273,Boston,1895,2
109274,Boston,1955,1
109275,Boston,1955,1
109276,Boston,1900,1
109277,Boston,1890,1
109278,Boston,1999,11
109279,Boston,1920,10
109280,Boston,1900,3
109281,Boston,1910,3
109282,Boston,2007,3
109283,Boston,1950,2
109284,Boston,1935,1
109285,Boston,1910,3
109286,Boston,1880,1
109287,Boston,1890,3
109288,Boston,1910,1
109289,Boston,1941,1
109291,Boston,1840,1
109292,Boston,1899,5
109293,Boston,1890,1
109294,Boston,1928,2
109295,Boston,1950,2
109296,Boston,1900,2
109297,Boston,1926,1
109298,Boston,1968,1
109299,Boston,1925,1
109300,Boston,1900,3
109301,Boston,1998,1
109302,Boston,1920,3
109303,Boston,1999,34
109304,Boston,2021,2
109307,Boston,1914,3
109308,Boston,1940,1
109309,Boston,1929,1
109310,Boston,1905,2
109311,Boston,1900,1
109312,Boston,1875,1
109313,Boston,1900,2
109314,Boston,2004,16
109315,Boston,1830,1
109316,Boston,1900,1
109317,Boston,1920,3
109318,Boston,1905,2
109319,Boston,1930,3
109321,Boston,1899,5
109322,Boston,1927,2
109323,Boston,1905,5
109325,Boston,1989,1
109326,Boston,1999,3
109327,Boston,1905,1
109328,Boston,1900,3
109329,Boston,1899,1
109330,Boston,1910,1
109331,Boston,1910,1
109332,Boston,1905,3
109333,Boston,1910,3
109334,Boston,2017,9
109336,Boston,1930,1
109337,Boston,1920,3
109338,Boston,1934,1
109339,Boston,1905,4
109340,Boston,1900,1
109341,Boston,1955,1
109342,Boston,1999,13
109343,Boston,1910,10
109344,Boston,1910,2
109345,Boston,1955,1
109347,Boston,1890,1
109348,Boston,1900,1
109349,Boston,1910,1
109350,Boston,1925,2
109351,Boston,1999,17
109352,Boston,1925,11
109353,Boston,1914,2
109354,Boston,1950,2
109355,Boston,1940,1
109356,Boston,1899,8
109357,Boston,1925,3
109358,Boston,1900,2
109359,Boston,1950,1
109360,Boston,1925,1
109361,Boston,1906,1
109363,Boston,1900,2
109364,Boston,1880,1
109365,Boston,1910,3
109366,Boston,1925,2
109367,Boston,1890,3
109368,Boston,1925,2
109370,Boston,1900,1
109371,Boston,1880,3
109372,Boston,1984,1
109373,Boston,1900,2
109374,Boston,1940,2
109376,Boston,1920,2
109377,Boston,1920,3
109378,Boston,1900,1
109379,Boston,1920,2
109380,Boston,1925,2
109381,Boston,1900,1
109382,Boston,1890,3
109383,Boston,1900,5
109384,Boston,1940,1
109385,Boston,1930,1
109386,Boston,1900,1
109387,Boston,1900,3
109388,Boston,1900,1
109390,Boston,1938,1
109391,Boston,1954,1
109393,Boston,2008,1
109394,Boston,1910,1
109395,Boston,1899,10
109396,Boston,1880,3
109397,Boston,1987,1
109398,Boston,1866,1
109399,Boston,1935,4
109400,Boston,1999,15
109401,Boston,1905,2
109402,Boston,1890,1
109403,Boston,1899,11
109404,Boston,1950,1
109405,Boston,1960,1
109406,Boston,1900,1
109407,Boston,1920,6
109408,Boston,1965,1
109409,Boston,1964,1
109410,Boston,1905,2
109412,Boston,1899,12
109413,Boston,1820,1
109414,Boston,1959,1
109415,Boston,1920,1
109416,Boston,1910,1
109417,Boston,1920,2
109418,Boston,1930,2
109419,Boston,1888,3
109420,Boston,1905,1
109421,Boston,1940,1
109422,Boston,1962,1
109423,Boston,1900,3
109424,Boston,1920,1
109425,Boston,1920,2
109426,Boston,1979,3
109427,Boston,1900,12
109428,Boston,1900,1
109429,Boston,1910,1
109430,Boston,1865,5
109431,Boston,1905,1
109432,Boston,1930,1
109433,Boston,1900,1
109434,Boston,1999,5
109435,Boston,1900,4
109436,Boston,1930,2
109437,Boston,1920,1
109438,Boston,1945,1
109439,Boston,1920,2
109440,Boston,1957,1
109441,Boston,1890,1
