fid,city,year_built,units
57282,Boston,1926,3
57283,Boston,1905,3
57284,Boston,2004,27
57285,Boston,1920,3
57286,Boston,1900,1
57287,Boston,1905,3
57288,Boston,1933,1
57289,Boston,2005,1
57290,Boston,2001,2
57293,Boston,1890,2
57294,Boston,1905,3
57295,Boston,1992,1
57296,Boston,1960,1
57298,Boston,1905,2
57300,Boston,1920,3
57301,Boston,1930,132
57302,Boston,1909,1
57304,Boston,1984,1
57305,Boston,1925,11
57306,Boston,1920,1
57307,Boston,1926,1
57309,Boston,1900,1
57310,Boston,1997,1
57311,Boston,1899,1
57312,Boston,1945,1
57313,Boston,1900,2
57314,Boston,1920,1
57315,Boston,1900,2
57316,Boston,1950,1
57317,Boston,1905,3
57318,Boston,1945,2
57319,Boston,1950,1
57320,Boston,1910,2
57321,Boston,1850,2
57322,Boston,1929,1
57323,Boston,1910,2
57324,Boston,1950,1
57325,Boston,1950,1
57326,Boston,1960,1
57328,Boston,1935,2
57329,Boston,1920,2
57330,Boston,1920,2
57331,Boston,1910,3
57332,Boston,1905,3
57333,Boston,1900,2
57334,Boston,1900,3
57335,Boston,1920,2
57336,Boston,1941,1
57337,Boston,2002,1
57338,Boston,1910,3
57339,Boston,1915,3
57340,Boston,1920,2
57341,Boston,1999,9
57342,Boston,1999,138
57343,Boston,2004,3
57344,Boston,1900,3
57345,Boston,1965,41
57347,Boston,1899,7
57348,Boston,2017,3
57349,Boston,1895,3
57350,Boston,1915,1
57351,Boston,1900,1
57353,Boston,2020,1
57354,Boston,1925,2
57356,Boston,1925,1
57357,Boston,1920,1
57358,Boston,1920,4
57359,Boston,1880,2
57360,Boston,1900,3
57363,Boston,1915,1
57364,Boston,1898,2
57365,Boston,1915,2
57366,Boston,1915,2
57367,Boston,1895,2
57368,Boston,1920,7
57369,Boston,1899,1
57370,Boston,1910,7
57371,Boston,1959,1
57372,Boston,2001,1
57373,Boston,1991,1
57374,Boston,1925,1
57377,Boston,1915,3
57378,Boston,1935,1
57379,Boston,1930,1
57380,Boston,1885,1
57381,Boston,1970,7
57382,Boston,1960,1
57383,Boston,1940,1
57384,Boston,1890,2
57385,Boston,1880,5
57387,Boston,1925,1
57388,Boston,1900,2
57389,Boston,1900,1
57390,Boston,1935,1
57391,Boston,1900,3
57392,Boston,1900,3
57393,Boston,1905,5
57394,Boston,1900,1
57395,Boston,1935,1
57397,Boston,1940,1
57398,Boston,1927,1
57399,Boston,1957,1
57400,Boston,1920,2
57401,Boston,1911,1
57403,Boston,1925,3
57404,Boston,1908,1
57405,Boston,1905,3
57406,Boston,1928,3
57407,Boston,1900,1
57408,Boston,1900,3
57409,Boston,1920,2
57410,Boston,1940,4
57412,Boston,1890,3
57414,Boston,1920,1
57415,Boston,2004,2
57416,Boston,1920,1
57417,Boston,1905,3
57418,Boston,2007,3
57419,Boston,1940,1
57420,Boston,1900,2
57422,Boston,1915,2
57423,Boston,1900,3
57424,Boston,1920,1
57425,Boston,1920,1
57427,Boston,1900,1
57428,Boston,1899,11
57429,Boston,1955,1
57431,Boston,1957,1
57432,Boston,1925,2
57433,Boston,1950,1
57434,Boston,2000,1
57435,Boston,1999,44
57436,Boston,1938,3
57437,Boston,1999,7
57438,Boston,1899,28
57439,Boston,1900,2
57440,Boston,1963,1
57441,Boston,2013,3
57443,Boston,1880,1
57444,Boston,1900,1
57446,Boston,1927,3
57447,Boston,1910,3
57448,Boston,1920,6
57449,Boston,1967,1
57450,Boston,1920,2
57452,Boston,1910,2
57453,Boston,1897,1
57454,Boston,1909,2
57455,Boston,1880,1
57456,Boston,1920,1
57457,Boston,1905,5
57458,Boston,1930,1
57459,Boston,1950,1
57460,Boston,1920,1
57461,Boston,1895,3
57462,Boston,1930,9
57463,Boston,1930,1
57464,Boston,1892,1
57465,Boston,1890,3
57466,Boston,1906,3
57467,Boston,1930,21
57468,Boston,1999,51
57469,Boston,2001,2
57471,Boston,1915,3
57472,Boston,1885,1
57473,Boston,1900,3
57474,Boston,2005,1
57475,Boston,1970,4
57476,Boston,1890,6
57477,Boston,1900,1
57478,Boston,1895,2
57479,Boston,1900,1
57480,Boston,1926,149
57481,Boston,1900,1
57483,Boston,1900,3
57484,Boston,1900,2
57485,Boston,1934,1
57487,Boston,1950,7
57488,Boston,1885,2
57489,Boston,1910,3
57490,Boston,1950,1
57491,Boston,1905,3
57492,Boston,1899,1
57494,Boston,2003,11
57495,Boston,1940,1
57497,Boston,1925,2
57498,Boston,1900,1
57499,Boston,1900,3
57500,Boston,1930,3
57501,Boston,2004,1
57502,Boston,1899,4
57503,Boston,1991,1
57504,Boston,1895,1
57505,Boston,1900,3
57506,Boston,1915,2
57508,Boston,1905,3
57509,Boston,1905,3
57510,Boston,1870,1
57511,Boston,1920,2
57512,Boston,1905,3
57513,Boston,1925,1
57514,Boston,1925,2
57515,Boston,1900,2
57516,Boston,1905,2
