muni,total_units,total_value,avg_price_per_unit,mean_lot_size_sqft,mean_far,compliance_rate,lot_25%,lot_50%,lot_75%
Norwood,13442.0,6650927686.0,494787.0618955513,30881.74021186649,0.3435358648836921,0.9830656207197112,8088.82499024409,11159.3036097502,15599.29733732875
Burlington,14595.0,9053621560.0,620323.5053100376,37726.043494686084,0.11657826122318514,0.9530473450170024,18265.019826806274,20516.61782716335,23398.533279224124
Norwell,4098.0,3106833853.0,758134.1759394826,124831.28874873418,0.10529137975127845,0.9951094550535631,39466.82526517892,49980.0895532489,92837.33293637136
Hanover,5355.0,3976505482.0,742578.0545284781,77467.77344866392,0.10826530921962367,0.9771840873634945,29320.457060956174,34836.3949074274,54069.90122457285
Rockport,4719.0,2937772979.0,622541.4238186056,47251.37518739725,0.30610027362240205,0.8898667337188836,6652.36450118365,12651.7100618679,22417.9484037301
Topsfield,3235.0,1871352488.0,578470.629984544,145397.2749363382,0.0571016474884892,0.9637462235649547,35784.4670157422,45060.9024990841,89437.2998887993
Waltham,33016.0,19102507700.0,578583.3444390598,24564.510583906333,0.3373451397491833,0.9230826954825154,5235.119130812305,7251.96925683737,10971.684475986774
Cohasset,4267.0,3380244863.0,792183.0004687133,82309.41243991544,0.12070937269449995,0.9487341772151898,17873.84515869775,25519.56554832345,51695.83068227815
Middleton,5161.0,3014620863.0,584115.64871149,127777.67208813259,0.06707115004951872,0.8864717878993882,20838.063568971178,41801.8954489041,72526.36605470898
Gloucester,15593.0,9687111900.0,621247.4764317322,53313.91128928141,0.34657518230202716,0.9866215592803321,5354.2893766529305,10496.0947669044,23393.523439411998
Walpole,9908.0,5502557100.0,555365.068631409,62923.59658255286,0.17483285661932904,0.8305834528933524,15924.090733300125,22595.4552584253,41283.40015088943
Bolton,1874.0,1262202700.0,673533.9914621131,144485.02789056217,0.020777753739034847,0.9725877192982456,60038.815715244855,84494.5010584073,164928.68538670975
Canton,8430.0,6731700400.0,798540.9727164888,50807.135494720846,0.13622198141136327,0.9478590614631064,12861.2710659137,18177.71097727,32702.3797827085
Medway,6000.0,4442835240.0,740472.54,63064.2506697512,0.07457101717901772,0.9595681625740897,18459.131313151724,32047.48648403685,48071.22818654743
Wenham,2169.0,1055944327.0,486834.6366989396,141275.03339715744,0.07025185963080895,0.9767123287671233,20598.8881467957,41037.8038897502,73184.45174287012
Hudson,8344.0,3837830900.0,459950.9707574305,49484.92680201687,0.2271080707135257,0.9834977883633889,11909.207975595675,16412.4507936663,32318.8289570446
Braintree,20089.0,9003715027.0,448191.300064712,29441.558005249844,0.18457513569953593,0.8842460420451597,7409.445802235279,10542.4373012769,16547.3083166633
Weston,3937.0,7593885200.0,1928850.698501397,109129.92011148439,0.1284304401616998,0.9932398597896845,39972.870248038125,59799.50971388845,80406.41365606188
Dover,2100.0,3286231076.0,1564871.940952381,169202.03554092202,0.09268318480236584,0.9811849479583667,44049.033563432575,56406.50764711345,111271.87563063625
Marblehead,10655.0,7298496646.0,684983.2610042234,13246.131515670895,0.3312679779047514,0.9796779141104295,5391.239916877752,7849.906054078405,11578.96676700525
Scituate,8473.0,6938692760.0,818918.0644399858,33395.061521872085,0.15430841365916242,0.9830806713589605,9877.528243077788,19547.2140971578,34457.403352093075
Stoneham,10942.0,5183296819.0,473706.5270517273,20807.924083049053,0.3559643580685271,0.9779798946864529,7437.41477537607,10073.6001925331,12743.375731673099
Newton,33348.0,40336160000.0,1209552.5968573827,15727.04092963145,0.5410519157461852,0.9816651904340123,7082.459606641678,9617.131698438405,13289.130696433851
Wayland,4750.0,4233166600.0,891192.9684210527,55810.49126666821,0.15832127411842234,0.9914085462355867,20079.189685456702,33383.7159542541,59080.81799530175
Wellesley,1204.0,3795298000.0,3152240.8637873754,194334.54461889356,0.3871875888301836,0.8837209302325582,12669.9727782215,25826.102482213,73657.5481696689
Weymouth,24782.0,10834252210.0,437182.3182148333,24724.63376178226,0.16454755522456027,0.9707232723153062,7246.615879756545,10374.2726340168,16604.0652332835
Brookline,32002.0,29400353400.0,918703.6247734517,18891.054527734123,0.18296715175596348,0.9661978489540244,4881.91410245609,7394.53569814802,12731.4520485523
Framingham,0.0,0.0,,,,,,,
Stow,2693.0,1845043895.0,685125.8429261047,172020.80078382973,0.09704106679527619,0.972992700729927,37053.68049563412,48343.48049037345,85596.5669028204
Nahant,1894.0,1446756126.0,763862.7909186906,19051.341601242348,0.303777677651068,0.9582433405327574,4630.4687444344,7787.51473167806,12380.0727447782
Essex,2499.0,1221027220.0,488606.33053221286,175351.5072498677,0.07295890983353458,0.45958871353419417,13659.38938452575,40696.6398977325,130905.3185353105
Lynn,42512.0,13097552900.0,308090.7249717727,14095.721211715161,0.41951141189238844,0.8744622401907427,3971.35950442502,5111.17852918348,7402.85817676926
Sharon,6421.0,4556376200.0,709605.3885687587,91938.0663112932,0.1409416670923459,0.9892322097378277,19466.920777092775,32445.104845998852,45181.25661787245
